municipality,iata_code,coordinates
Vancouver,YVR,"-123.183998108, 49.193901062"
Norman Wells,YVQ,"-126.7979965209961, 65.28160095214844"
Kuujjuaq,YVP,"-68.4269027709961, 58.096099853515625"
Val-d'Or,YVO,"-77.7827987671, 48.0532989502"
Qikiqtarjuaq,YVM,"-64.03140258789999, 67.5457992554"
Vermilion,YVG,"-110.823997498, 53.355800628699996"
Vernon,YVE,"-119.33100128173828, 50.24810028076172"
Yeva,YVD,"146.188, -7.548"
La Ronge,YVC,"-105.262001038, 55.151401519800004"
Bonaventure,YVB,"-65.46029663085938, 48.07109832763672"
Moroni,YVA,"43.2439002991, -11.710800170899999"
Rouyn-Noranda,YUY,"-78.83560180664062, 48.20610046386719"
Hall Beach,YUX,"-81.2425, 68.77610015869999"
Repulse Bay,YUT,"-86.224701, 66.5214"
Yushu,YUS,"97.0363888889, 32.836388888900004"
Yuma,YUM,"-114.6060028, 32.65660095"
Montr̩al,YUL,"-73.7407989502, 45.4706001282"
,YUJ,"-113.224411011, 68.4753126151"
,YUE,"131.78199768066406, -22.254199981689453"
Umiujaq,YUD,"-76.51830291748047, 56.53609848022461"
Tuktoyaktuk,YUB,"-133.0260009765625, 69.43329620361328"
Yuanmou,YUA,"101.88200378418, 25.737499237061"
Toronto,YTZ,"-79.396202, 43.627499"
,YTY,"119.717141, 32.560184"
Yangzhou and Taizhou,YTY,"119.7198, 32.5634"
Telegraph Creek,YTX,"-131.117007, 57.916698"
Tasu,YTU,"-132.04, 52.7630555556"
Tisdale,YTT,"-104.06700134277, 52.836700439453"
Timmins,YTS,"-81.376701355, 48.569698333699996"
Trenton,YTR,"-77.5280990600586, 44.118900299072266"
Tasiujaq,YTQ,"-69.95580291748047, 58.66780090332031"
Tofino Harbour,YTP,"-125.91, 49.155"
Rivi̬re Rouge,YTM,"-74.779999, 46.409401"
Big Trout Lake,YTL,"-89.89689636230469, 53.81779861450195"
